Original_Symbol,Human_Official_Symbol
Mbp,MBP
MMP1,MMP1
MMP3,MMP3
MMP9,MMP9
MPO,MPO
MST1,MST1
MUC4,MUC4
MYB,MYB
NORPEG,RAI14
Nppa,NPPA
NPY1R,NPY1R
Nr2f1,NR2F1
Nr2f 2,NA
NR4A1,NR4A1
NRGN,NRGN
Ntrk1ooo,NA
OAS3ppp,NA
ODC1,ODC1
OPRD1,OPRD1
Oprk1,OPRK1
OPRM1,OPRM1
Otx2,OTX2
PDGFA,PDGFA
Pdgfra,PDGFRA
Pitx2,PITX2
Pk3,PKM
Plp,PTHLH
Ppara,PPARA
Pparg,PPARG
Pthlh,PTHLH
Ranbp1,RANBP1
RB1,RB1
Rbbp7sss,NA
Rex2,REXO2
Rex3,NA
Rsdr1vvv,NA
Rxrg,RXRG
Sarawww,NA
Sat,SAT1
Serpinh1,SERPINH1
Shmt1xxx,NA
SLA,SLA
SLC27A1,SLC27A1
Slc2a3,SLC2A3
SLC9A1,SLC9A1
Slc9a2,SLC9A2
Sod1,SOD1
TERT,TERT
THYb10zzz,NA
TIMP1aaaa,NA
TNFRSF6,FAS
Tnfsf6,FASLG
Trh,TRH
Trp53,TP53
Vcam1,VCAM1
VEGF,VEGFA
VIP,VIP
Zfp42,ZFP42
